id,city_name,stay_name,stay_type,avg_price_per_night,rating,location_area,budget_category
1,Mumbai,Mumbai Vista,Resort,13543,4.0,Bandra,Luxury
2,Mumbai,Mumbai Retreat,Midrange Hotel,4198,4.1,Juhu,Midrange
3,Mumbai,Mumbai Grand,Luxury Hotel,11717,3.8,Juhu,Luxury
4,Mumbai,Mumbai Vista,Homestay,4273,4.2,Andheri,Midrange
5,Mumbai,Mumbai Retreat,Budget Hotel,2232,4.4,Andheri,Budget
6,Pune,Pune Vista,Midrange Hotel,4198,4.6,Koregaon Park,Midrange
7,Pune,Pune Vista,Luxury Hotel,11717,3.6,Koregaon Park,Luxury
8,Pune,Pune Vista,Luxury Hotel,11717,4.0,Hinjewadi,Luxury
9,Pune,Pune Vista,Luxury Hotel,11717,3.7,Hinjewadi,Luxury
10,Pune,Pune Inn,Resort,13543,4.8,FC Road,Luxury
11,Lonavala,Lonavala Stay,Homestay,4273,4.0,Old Mumbai Road,Midrange
12,Lonavala,Lonavala Residency,Luxury Hotel,11717,4.6,Rye Wood,Luxury
13,Lonavala,Lonavala Vista,Budget Hotel,2232,4.5,Old Mumbai Road,Budget
14,Lonavala,Lonavala Residency,Midrange Hotel,4198,3.5,Bhushi,Midrange
15,Lonavala,Lonavala Inn,Luxury Hotel,11717,4.1,Tungarli,Luxury
16,Nashik,Nashik Vista,Resort,13543,4.2,Sula Area,Luxury
17,Nashik,Nashik Inn,Homestay,4273,4.4,Sula Area,Midrange
18,Nashik,Nashik Retreat,Resort,13543,3.6,Sula Area,Luxury
19,Nashik,Nashik Residency,Luxury Hotel,11717,4.4,College Road,Luxury
20,Nashik,Nashik Retreat,Resort,13543,4.4,Gangapur Road,Luxury
21,Bengaluru,Bengaluru Suites,Homestay,4273,4.1,Koramangala,Midrange
22,Bengaluru,Bengaluru Residency,Budget Hotel,2232,4.0,Koramangala,Budget
23,Bengaluru,Bengaluru Suites,Resort,13543,5.0,Whitefield,Luxury
24,Bengaluru,Bengaluru Retreat,Resort,13543,4.4,Whitefield,Luxury
25,Bengaluru,Bengaluru Retreat,Luxury Hotel,11717,3.5,Koramangala,Luxury
26,Mysuru,Mysuru Grand,Hostel,1188,3.9,Nazarbad,Budget
27,Mysuru,Mysuru Suites,Resort,13543,3.8,Gokulam,Luxury
28,Mysuru,Mysuru Retreat,Resort,13543,4.1,Gokulam,Luxury
29,Mysuru,Mysuru Inn,Resort,13543,4.6,VV Mohalla,Luxury
30,Mysuru,Mysuru Residency,Resort,13543,4.0,Chamundi Hills,Luxury
31,Coorg,Coorg Inn,Midrange Hotel,4198,5.0,Virajpet,Midrange
32,Coorg,Coorg Residency,Midrange Hotel,4198,4.2,Kushalnagar,Midrange
33,Coorg,Coorg Vista,Resort,13543,4.7,Somwarpet,Luxury
34,Coorg,Coorg Suites,Budget Hotel,2232,4.1,Madikeri,Budget
35,Coorg,Coorg Grand,Budget Hotel,2232,4.7,Somwarpet,Budget
36,Hampi,Hampi Grand,Hostel,1188,4.0,Hampi Bazaar,Budget
37,Hampi,Hampi Residency,Midrange Hotel,4198,3.8,Hospet,Midrange
38,Hampi,Hampi Vista,Homestay,4273,3.6,Anegundi,Midrange
