id,city_name,activity_name,category,description,estimated_cost,duration_hours,best_time,difficulty_level,family_friendly,indoor_or_outdoor,popularity_score,activity_image
1,Mumbai,Marine Drive Walk,Sightseeing,Popular tourist activity in Mumbai enjoyed by travelers.,4000,4.0,Evening,Hard,TRUE,Outdoor,97,marine_drive_walk.jpg
2,Mumbai,Gateway of India Tour,Sightseeing,Popular tourist activity in Mumbai enjoyed by travelers.,2000,1.5,Night,Easy,TRUE,Outdoor,89,gateway_of_india_tour.jpg
3,Mumbai,Juhu Beach Visit,Beach,Popular tourist activity in Mumbai enjoyed by travelers.,4000,4.0,Afternoon,Medium,TRUE,Outdoor,79,juhu_beach_visit.jpg
4,Mumbai,Street Food Crawl,Food,Popular tourist activity in Mumbai enjoyed by travelers.,4000,1.5,Morning,Hard,FALSE,Outdoor,86,street_food_crawl.jpg
5,Mumbai,Colaba Shopping,Shopping,Popular tourist activity in Mumbai enjoyed by travelers.,1500,4.0,Night,Easy,FALSE,Indoor,78,colaba_shopping.jpg
6,Mumbai,Bandra Nightlife,Nightlife,Popular tourist activity in Mumbai enjoyed by travelers.,800,2.0,Morning,Hard,TRUE,Indoor,78,bandra_nightlife.jpg
7,Pune,Shaniwar Wada Tour,Sightseeing,Popular tourist activity in Pune enjoyed by travelers.,1200,6.0,Night,Hard,FALSE,Outdoor,78,shaniwar_wada_tour.jpg
8,Pune,Cafe Hopping,Sightseeing,Popular tourist activity in Pune enjoyed by travelers.,2000,2.0,Night,Easy,TRUE,Outdoor,80,cafe_hopping.jpg
9,Pune,Sinhagad Trek,Trekking,Popular tourist activity in Pune enjoyed by travelers.,2000,5.0,Afternoon,Medium,TRUE,Indoor,73,sinhagad_trek.jpg
10,Pune,FC Road Shopping,Shopping,Popular tourist activity in Pune enjoyed by travelers.,2000,3.0,Morning,Medium,TRUE,Indoor,91,fc_road_shopping.jpg
11,Pune,Aga Khan Palace Visit,Sightseeing,Popular tourist activity in Pune enjoyed by travelers.,500,4.0,Afternoon,Easy,FALSE,Outdoor,96,aga_khan_palace_visit.jpg
12,Pune,Local Food Trail,Food,Popular tourist activity in Pune enjoyed by travelers.,500,1.5,Morning,Hard,FALSE,Outdoor,82,local_food_trail.jpg
13,Lonavala,Tiger Point Visit,Sightseeing,Popular tourist activity in Lonavala enjoyed by travelers.,1200,1.5,Evening,Easy,TRUE,Indoor,86,tiger_point_visit.jpg
14,Lonavala,Bhushi Dam Trip,Sightseeing,Popular tourist activity in Lonavala enjoyed by travelers.,1200,6.0,Evening,Easy,FALSE,Outdoor,87,bhushi_dam_trip.jpg
15,Lonavala,Karla Caves Tour,Sightseeing,Popular tourist activity in Lonavala enjoyed by travelers.,1500,2.0,Morning,Hard,TRUE,Indoor,97,karla_caves_tour.jpg
16,Lonavala,Lonavala Trekking,Trekking,Popular tourist activity in Lonavala enjoyed by travelers.,4000,3.0,Afternoon,Easy,FALSE,Indoor,87,lonavala_trekking.jpg
17,Lonavala,Camping Experience,Relaxation,Popular tourist activity in Lonavala enjoyed by travelers.,3000,3.0,Morning,Medium,FALSE,Outdoor,95,camping_experience.jpg
18,Lonavala,Photography Tour,Photography,Popular tourist activity in Lonavala enjoyed by travelers.,4000,5.0,Evening,Medium,FALSE,Indoor,78,photography_tour.jpg
19,Nashik,Wine Tasting,Sightseeing,Popular tourist activity in Nashik enjoyed by travelers.,1500,2.0,Night,Hard,FALSE,Outdoor,96,wine_tasting.jpg
20,Nashik,Trimbakeshwar Temple Visit,Spiritual,Popular tourist activity in Nashik enjoyed by travelers.,1200,1.5,Morning,Medium,TRUE,Indoor,84,trimbakeshwar_temple_visit.jpg
21,Nashik,Godavari Ghat Walk,Sightseeing,Popular tourist activity in Nashik enjoyed by travelers.,500,3.0,Afternoon,Medium,TRUE,Indoor,82,godavari_ghat_walk.jpg
22,Nashik,Sula Vineyard Tour,Sightseeing,Popular tourist activity in Nashik enjoyed by travelers.,3000,6.0,Evening,Hard,TRUE,Indoor,77,sula_vineyard_tour.jpg
23,Nashik,Pandavleni Caves,Sightseeing,Popular tourist activity in Nashik enjoyed by travelers.,4000,4.0,Afternoon,Hard,FALSE,Indoor,94,pandavleni_caves.jpg
24,Nashik,Street Food Tour,Food,Popular tourist activity in Nashik enjoyed by travelers.,4000,6.0,Afternoon,Medium,FALSE,Outdoor,86,street_food_tour.jpg
25,Bengaluru,Cubbon Park Walk,Sightseeing,Popular tourist activity in Bengaluru enjoyed by travelers.,1200,5.0,Evening,Hard,TRUE,Outdoor,96,cubbon_park_walk.jpg
26,Bengaluru,Pub Hopping,Nightlife,Popular tourist activity in Bengaluru enjoyed by travelers.,2500,2.0,Night,Medium,FALSE,Indoor,87,pub_hopping.jpg
27,Bengaluru,Lalbagh Tour,Sightseeing,Popular tourist activity in Bengaluru enjoyed by travelers.,1500,2.0,Evening,Easy,FALSE,Indoor,74,lalbagh_tour.jpg
28,Bengaluru,Commercial Street Shopping,Shopping,Popular tourist activity in Bengaluru enjoyed by travelers.,2500,1.5,Afternoon,Medium,TRUE,Outdoor,87,commercial_street_shopping.jpg
29,Bengaluru,Wonderla Visit,Sightseeing,Popular tourist activity in Bengaluru enjoyed by travelers.,2000,5.0,Evening,Easy,TRUE,Indoor,95,wonderla_visit.jpg
30,Bengaluru,Bangalore Palace Tour,Sightseeing,Popular tourist activity in Bengaluru enjoyed by travelers.,1500,5.0,Evening,Easy,FALSE,Indoor,71,bangalore_palace_tour.jpg
31,Mysuru,Mysore Palace Tour,Sightseeing,Popular tourist activity in Mysuru enjoyed by travelers.,2000,4.0,Evening,Easy,FALSE,Outdoor,95,mysore_palace_tour.jpg
32,Mysuru,Brindavan Gardens Visit,Sightseeing,Popular tourist activity in Mysuru enjoyed by travelers.,4000,3.0,Afternoon,Easy,FALSE,Indoor,74,brindavan_gardens_visit.jpg
33,Mysuru,Chamundi Hills Trip,Sightseeing,Popular tourist activity in Mysuru enjoyed by travelers.,2000,6.0,Morning,Hard,TRUE,Indoor,95,chamundi_hills_trip.jpg
34,Mysuru,Silk Shopping,Shopping,Popular tourist activity in Mysuru enjoyed by travelers.,1200,6.0,Afternoon,Medium,TRUE,Outdoor,76,silk_shopping.jpg
35,Mysuru,Zoo Visit,Sightseeing,Popular tourist activity in Mysuru enjoyed by travelers.,2000,3.0,Morning,Hard,FALSE,Indoor,86,zoo_visit.jpg
